Node,Location,Employer,College
U5981,['urbana-champaign illinois area'],"['abner guzman phd', 'actency', 'baxter healthcare', 'command performance research', 'department of computer science university of illinois at urbana-champaign', 'electronic arts', 'elemental imaging', 'gas technology institute', 'killer works', 'mimosa accoustics', 'motorola', 'uiknow inc.', 'undisclosed']",['university of illinois at urbana-champaign']
U1199,['athens georgia area'],"['ctb mcgraw hill', 'ctb mcgraw-hill', 'data recognition corporation', 'ets', 'georgia center for assessment at uga']",['state university of new york college at plattsburgh']
U22747,['urbana-champaign illinois area'],"['bhabha atomic research center', 'intel', 'microsoft research india labs', 'oracle india pvt ltd', 'university of illinois at urbana-champaign']","['birla institute of technology', 'university of illinois at urbana-champaign']"
U18916,['urbana-champaign illinois area'],['university of illinois at urbana-champaign'],['beijing university of civil engineering and architecture']
U14500,['urbana-champaign illinois area'],"['empowered u coaching', 'franklin magnet middle school', 'mahomet-seymour pto', 'simplified computers', 'vineyard bible institute', 'vineyard church']",['university of illinois at urbana-champaign']
U7349,['greater chicago area'],"['alternative spring break', 'glenbard township high school district 87', 'grainger engineering library', 'resolutions employment assistant program', 'university of illinois at urbana-champaign', 'university of ymca student board', 'university ymca']",['university of illinois at urbana-champaign']
U3894,['shanghai city china'],"['cid group', 'shanghai prosperity fund', 'trivest']",['shanghai jiao tong university']
U16204,['greater boston area'],"['harvard school of public health', 'hkust', 'university of michigan']",['peking university']
U21995,['urbana-champaign illinois area'],['university of illinois at urbana-champaign'],['university of illinois at urbana-champaign']
U9128,['greenville south carolina area'],"['albrecht imaging', 'confidential', 'dupont', 'hughes development corp', 'my place bar and grill', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U25641,['greater new york city area'],"['educational testing service', 'hopewell consulting llc']",['allegheny college']
U15334,['british columbia canada'],"['admetrics communications', 'dohatec new media', 'university of british columbia']",['bangladesh university of engineering and technology (buet)']
U9667,['urbana-champaign illinois area'],"['chillers inc', 'john deere', 'panera bread']",['university of illinois at urbana-champaign']
U27742,['greater los angeles area'],"['university of delaware', 'university of southern california']","['peking university', 'university of science and technology beijing']"
U7317,['urbana-champaign illinois area'],"['aerofs', 'bazaarvoice', 'cisco systems', 'readjournal', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U1238,['portland maine area'],"['council of chief state school officers (ccsso)', 'international center for leadership in education', 'maine department of education', 'smarter balanced assessment consortium']",['university of southern maine']
U7909,['houston texas area'],"['houston isd', 'inc research', 'reasoning mind', 'university of illinois at urbana-champaign']",['southwestern university']
U14125,['greece'],"['intered', 'software competitiveness international', 'wexgroup']",['athens university of economics and business']
U19831,['greater st. louis area'],"['american institute of chemical engineers', 'celanese', 'dow corning', 'exelon nuclear', 'university of illinois at urbana-champaign', 'young business professionals of coastal bend']",['university of illinois at urbana-champaign']
U22030,['urbana-champaign illinois area'],"['alternative spring break at university of illinois', 'american medical student association at university of illinois', 'cognitive neuroimaging laboratory', 'krannert center for performing arts', 'prospect heights park district', 'provena covenant medical center', 'university of illinois at urbana-champaign crop sciences']",['university of illinois at urbana-champaign']
U27618,['urbana-champaign illinois area'],['university of illinois at urbana-champaign'],['university of illinois at urbana-champaign']
U13959,['greater seattle area'],"['alcatel-lucent - bell labs', 'microsoft', 'morgan stanley', 'university of illinois at urbana-champaign']",['sharif university of technology']
U24550,['urbana-champaign illinois area'],"['girl scouts of greater atlanta inc.', ""st. jude's recovery center"", 'university of illinois at urbana-champaign']",['georgia state university']
U9141,['urbana-champaign illinois area'],"['i-stem education initiative', 'pilsen wellness center inc.', 'university of chicago', 'university of illinois at urbana-champaign']",['depaul university']
U7096,['new delhi area india'],"['cosmopolitan magazine india', 'impulse films - filmmaking workshops', 'mega modelz magazine']",['delhi university']
U7315,['urbana-champaign illinois area'],"['building research council', 'city of champaign public works', 'deloitte consulting', 'university of illinois at urbana-champaign', 'university of illinois mathematics department', 'walsh construction']",['university of illinois at urbana-champaign']
U16141,['san francisco bay area'],"['dartmouth college', 'digital finance software development company ltd', 'frontfree technology network', 'oracle']",['beijing university of technology']
U27763,['china'],"['microsoft', 'morgan stanley']",['zhejiang university']
U15311,['bangladesh'],"['bangladesh university of engineering &amp; technology', 'buet', 'runner cyberlink ltd. (bd)', 'university of waterloo']",['bangladesh university of engineering and technology']
U1147,['greater new york city area'],"['educational testing service', 'ets']",['trinity college-hartford']
U15944,['washington d.c. metro area'],"['brown and caldwell', 'university of illinois at urbana-champaign']",['indian institute of technology kharagpur']
U7347,['greater chicago area'],"['ch2m hill', 'hydrosystems laboratory', 'university housing']",['university of illinois at urbana-champaign']
U14068,['urbana-champaign illinois area'],['university of illinois at urbana-champaign'],"['athens university of economics and business', 'university of illinois at urbana-champaign']"
U16127,['greater boston area'],"['institute for mathematics and its application university of minnesota', 'mathematical biosciences institute ohio state univeristy', 'robert bosch gmbh', 'schlumberger', 'stanford university']",['university of illinois at urbana-champaign']
U18562,['miami fort lauderdale area'],"['fiu university computer services', 'hcs lab university of florida', 'motorola inc. boynton beach fl', 'motorola inc. plantation fl', 'ultimate software']","['florida international university', 'university of florida']"
U4457,['urbana-champaign illinois area'],"['aia', 'beijing municipal bureau of statistics', 'university of illinois at urbana-champaign']",['tsinghua university']
U7294,['urbana-champaign illinois area'],['goldman sachs'],['university of illinois at urbana-champaign']
U7295,['urbana-champaign illinois area'],"['abbott diabetes care', 'abbott laboratories', 'galt &amp; company', 'zs associates']",['university of illinois at urbana-champaign']
U7338,['urbana-champaign illinois area'],"['hitachi consulting', 'procter &amp; gamble', 'round lake area park district', 'self', 'tepper mann &amp; cottrell p.c', 'university of illinois foundation']",['university of illinois at urbana-champaign']
U27617,['urbana-champaign illinois area'],['university of illinois at urbana-champaign'],['university of illinois at urbana-champaign']
U19874,['urbana-champaign illinois area'],"['oak ridge national laboratory', 'sauk valley community college', 'university of illinois at urbana-champaign', 'us army']",['university of illinois at urbana-champaign']
